config,mode,paths,n,k,messages,deadline_ms,deadline_success,p50_ms,p95_ms,p99_ms,overhead,late_rate,excess_lateness_mean_ms
tdma_p1_n5k3,tdma,1,5,3,1200,20.0,1.0,5.293321429762727,6.351465445112262,6.890879846826301,1.6666666666666958,0.0,0.0
tdma_p2_n5k3,tdma,2,5,3,1200,20.0,1.0,5.2486554963070375,6.389109465004367,6.89716621173231,1.6666666666666958,0.0,0.0
tdma_p2_n2k1,tdma,2,2,1,1200,20.0,1.0,3.1509091194357097,4.3583995851126005,4.910330972759839,2.0,0.0,0.0
tdma_p2_n4k2,tdma,2,4,2,1200,20.0,1.0,4.217764684150097,5.256778183373535,5.791328462201199,2.0,0.0,0.0
tdma_p1_n4k2,tdma,1,4,2,1200,20.0,1.0,4.215525052841258,5.334973405847631,5.922984033930879,2.0,0.0,0.0
tdma_p1_n6k3,tdma,1,6,3,1200,20.0,1.0,5.252342857404983,6.371632477330695,6.907017580862121,2.0,0.0,0.0
tdma_p2_n6k3,tdma,2,6,3,1200,20.0,1.0,5.262755116892777,6.30792229099734,7.058861028757201,2.0,0.0,0.0
best_effort_p1_n6k3,best_effort,1,6,3,1200,20.0,1.0,5.929100162073155,8.478006915956211,10.115493148496626,2.0,0.0,0.0
best_effort_p2_n6k3,best_effort,2,6,3,1200,20.0,1.0,5.96884983052405,8.895713748657725,10.29323261354184,2.0,0.0,0.0
best_effort_p1_n4k2,best_effort,1,4,2,1200,20.0,0.9991666666666666,5.724262830801308,8.939273589238654,10.905442860433658,2.0,0.0008333333333333526,0.016666666666666666
best_effort_p2_n4k2,best_effort,2,4,2,1200,20.0,0.9991666666666666,5.737319710344309,9.163039730906894,11.918781524698714,2.0,0.0008333333333333526,0.001486467316838874
best_effort_p2_n2k1,best_effort,2,2,1,1200,20.0,0.9991666666666666,5.115872224745544,9.268785454377939,13.319321795975917,2.0,0.0008333333333333526,0.0021817365274667583
tdma_p1_n5k2,tdma,1,5,2,1200,20.0,1.0,4.23990564978476,5.332344932726391,5.733218961254187,2.5,0.0,0.0
tdma_p2_n5k2,tdma,2,5,2,1200,20.0,1.0,4.2125213114561575,5.232126830102243,5.768591592164448,2.5,0.0,0.0
best_effort_p1_n5k2,best_effort,1,5,2,1200,20.0,1.0,5.297912848682245,7.722641519663919,9.034238516005207,2.5,0.0,0.0
best_effort_p2_n5k2,best_effort,2,5,2,1200,20.0,1.0,5.283457858946349,7.920309447577709,9.951813642970265,2.5,0.0,0.0
tdma_p2_n3k1,tdma,2,3,1,1200,20.0,1.0,3.167739736731164,4.192573083421143,4.652592179034014,3.0,0.0,0.0
tdma_p1_n3k1,tdma,1,3,1,1200,20.0,1.0,3.0838151637944975,4.22181476970236,4.70688621186684,3.0,0.0,0.0
best_effort_p2_n3k1,best_effort,2,3,1,1200,20.0,1.0,4.679463536634103,7.754860805238627,9.756619847488782,3.0,0.0,0.0
best_effort_p1_n3k1,best_effort,1,3,1,1200,20.0,0.9991666666666666,4.693425697521889,7.328810755988524,9.675144644581014,3.0,0.0008333333333333526,0.0004551346537421826
